"Category","Product type","SKU","Product description","Size (cm)","Size (inches)","Finish","Paper type","Substrate weight","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-12X24","Photographic Art Print 30x60cm / 12x24""","30x60cm","12x24""",,"LPP","240gsm","   18.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-12X24","Photographic Art Print 30x60cm / 12x24""","30x60cm","12x24""",,"LPP","240gsm","   18.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-12X24","Photographic Art Print 30x60cm / 12x24""","30x60cm","12x24""",,"LPP","240gsm","   18.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-12X24","Photographic Art Print 30x60cm / 12x24""","30x60cm","12x24""",,"LPP","240gsm","   18.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X16","Photographic Art Print 40x40cm / 16x16""","40x40cm","16x16""",,"LPP","240gsm","   14.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X16","Photographic Art Print 40x40cm / 16x16""","40x40cm","16x16""",,"LPP","240gsm","   14.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X16","Photographic Art Print 40x40cm / 16x16""","40x40cm","16x16""",,"LPP","240gsm","   14.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X16","Photographic Art Print 40x40cm / 16x16""","40x40cm","16x16""",,"LPP","240gsm","    9.50","EUR","NL","US","Standard","    8.95","    0.00","EUR",3,6,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X20","Photographic Art Print 40x50cm / 16x20""","40x50cm","16x20""",,"LPP","240gsm","   15.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X20","Photographic Art Print 40x50cm / 16x20""","40x50cm","16x20""",,"LPP","240gsm","   15.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X20","Photographic Art Print 40x50cm / 16x20""","40x50cm","16x20""",,"LPP","240gsm","   15.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
